981013 CC1(C)C(=O)[C@@H]2OC2[C@@]2(C)C1CC(O)[C@]1(C)C2CC[C@@]2(C)C(c3ccoc3)OC(=O)C3OC321 | MAP kinase ERK2
983216 CCN(CC)c1ccc(S(=O)(=O)N2CCCCC2)cc1NC(=O)CN1C(=O)NC2(CCCC2)C1=O | Serine-protein kinase ATM
985439 Cc1ccc2c(c1)CC1(CN2C)C(=O)OC2(CCCCC2)OC1=O | c-Jun N-terminal kinase 3
985814 Cc1noc(C)c1S(=O)(=O)N1CCC2(CC1)OCCO2 | MAP kinase ERK2
988450 CC1CC[C@@]23CCC4(C)[C@@]5(C)CCC6C(C)(C)C(=O)CC[C@@]6(C)C5C=C[C@@]4(OC2=O)C3C1C | MAP kinase ERK2
990970 Oc1ncnc2c1C1(CCCC1)Cc1ccccc1-2 | MAP kinase ERK2
997065 O=C1C=C(NCC2CCCO2)C2(CCCCC2)O1 | Pyruvate kinase isozymes M1/M2
1003639 C/C=C\C=C\C(=O)N1CC2(CC(c3cccc(NC(=O)CC(c4ccccc4)c4ccccc4)c3)=NO2)C[C@H]1C(N)=O | Pyruvate kinase isozymes M1/M2
1005762 CCCn1cc([C@@H]2C[C@H]3CN(Cc4cccc(Cl)c4)C(=O)[C@]34CCCN24)c(C)n1 | MAP kinase ERK2
1007511 O=C(/C=C/c1cccs1)N1CCC2(CC1)Oc1ccc(F)cc1C(=O)C21CC(c2ccccc2)=NO1 | Serine-protein kinase ATM
1009173 C=CCC1CCCCC12NC(=O)NC2=O | MAP kinase ERK2
1011285 COc1cc2c(cc1OC)N1C(=O)CC(OCC(=O)O)C3C4CC5(CCN5C(=O)C4=O)C2C31 | Pyruvate kinase isozymes M1/M2
1014351 COCC(=O)N1CCC2(CC1)CCN(C(=O)Nc1cccc(C#N)c1)CC2 | MAP kinase ERK2
1015842 O=S(=O)(c1ccccc1)N1CCC2(CC1)CN(c1ccncc1)C2 | MAP kinase ERK2
1016381 O=C1CCCC2=C1C1(CCCC1)N=C(Nc1nc3cc(Cl)ccc3o1)N2 | Galactokinase
1017797 O=C1CCCC2=C1C1(CCCC1)N=C(Nc1nc3cc(-c4ccccc4)ccc3o1)N2 | Galactokinase
