7963 CC12NC(Cc3ccccc31)c1ccccc12 | 6-phospho-1-fructokinase
132746 COC(C)(C(=O)NC1C2CC3CC(C2)CC1C3)C(F)(F)F | Pyruvate dehydrogenase kinase
133119 CC(=O)C(=O)NC1C2CC3CC(C2)CC1C3 | Pyruvate dehydrogenase kinase
133148 O=C(NC1C2CC3CC(C2)CC1C3)C1(O)CC1 | Pyruvate dehydrogenase kinase
134086 CC(C)n1cnc2c(NC34CC5CC(CC(C5)C3)C4)nc(NCCCO)nc21 | Cyclin-dependent kinase 1
136524 CCCC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(C)C[C@]3(O)C(=O)C(C)=C[C@@H]23)C2C(C)(C)[C@@]21OC(=O)CCC | Protein kinase C alpha
137104 CCCC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(COC)C[C@@H]3C(=O)C(C)=C[C@H]32)C2C(C)(C)[C@@]21OC(=O)CCC | Protein kinase C alpha
137132 CCCC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(CO)C[C@]3(OC)C(=O)C(C)=C[C@@H]23)C2C(C)(C)[C@@]21OC(=O)CCC | Protein kinase C alpha
137176 CCCC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(COC)C[C@]3(O)C(=O)C(C)=C[C@@H]23)C2C(C)(C)[C@@]21OC(=O)CCC | Protein kinase C alpha
150961 CC(C)N1CC2CC1CN2c1cc2c(nc1Sc1ccc(F)cc1F)CNC(=O)N2c1c(Cl)cccc1Cl | MAP kinase p38
151534 O=C1NCc2nc(Sc3ccc(F)cc3F)c(N3CC4CC3CN4)cc2N1c1c(Cl)cccc1Cl | MAP kinase p38
151685 O=C1NCc2nc(Sc3ccc(F)cc3F)c(N3CC4CC3CN4C3CC3)cc2N1c1c(Cl)cccc1Cl | MAP kinase p38
151760 O=C1NCc2nc(Sc3ccc(F)cc3F)c(N3CC4CC3CN4CC3CC3)cc2N1c1c(Cl)cccc1Cl | MAP kinase p38
151822 CCN1CC2CC1CN2c1cc2c(nc1Sc1ccc(F)cc1F)CNC(=O)N2c1c(Cl)cccc1Cl | MAP kinase p38
151874 CC(C)(C)OC(=O)N1CC2CC1CN2c1cc2c(nc1Sc1ccc(F)cc1F)CNC(=O)N2c1c(Cl)cccc1Cl | MAP kinase p38
156308 COC(=O)[C@]1(O)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 | Protein kinase C (PKC)
158794 CCCCCC(=O)N(Cc1ccc(C(F)(F)P(=O)(O)O)cc1)[C@H]1CC[C@H]2[C@@H]3CCc4cc(OCCC)ccc4[C@H]3CC[C@@]21C | Tyrosine-protein kinase ZAP-70
158793 CCCCCC(=O)N(Cc1ccc(CP(=O)(O)O)cc1)[C@H]1CC[C@H]2[C@@H]3CCc4cc(OCCCOc5ccc6c(c5)CC[C@@H]5[C@@H]6CC[C@@]6(C)[C@H]5CC[C@@H]6N(Cc5ccc(CP(=O)(O)O)cc5)C(=O)CCCCC)ccc4[C@H]3CC[C@@]21C | Tyrosine-protein kinase ZAP-70
158796 CCCCCC(=O)N(Cc1ccc(CP(=O)(O)O)cc1)[C@H]1CC[C@H]2[C@@H]3CCc4cc(OCCC)ccc4[C@H]3CC[C@@]21C | Tyrosine-protein kinase ZAP-70
159410 CCCCCC(=O)N(Cc1ccc(C(F)(F)P(=O)(O)O)cc1)[C@H]1CC[C@H]2[C@@H]3CCc4cc(OCCCOc5ccc6c(c5)CC[C@@H]5[C@@H]6CC[C@@]6(C)[C@H]5CC[C@@H]6N(Cc5ccc(C(F)(F)P(=O)(O)O)cc5)C(=O)CCCCC)ccc4[C@H]3CC[C@@]21C | Tyrosine-protein kinase ZAP-70
162043 CC(O)C(/N=C1\C(O)=CC(=O)C(O)=C1CC1CCCC2CCCCC21)C(=O)O | Receptor protein-tyrosine kinase erbB-2
162044 COC1=CC(=O)C=C(/C=C2\CCCC3CCCCC23)C1=O | Receptor protein-tyrosine kinase erbB-2
162298 CC1=CCC[C@@H]2[C@]1(C)CC[C@@H](C)[C@@]2(C)CC1=C(O)C(O)=C/C(=N\[C@@H](CO)C(=O)O)C1=O | Receptor protein-tyrosine kinase erbB-2
169101 Nc1ncnc2nc(-c3ccc(N4CC5CC4CO5)nc3)cc(-c3cccc(Br)c3)c12 | Adenosine kinase
190271 CC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(CO)C[C@]3(O)C(=O)C(C)=C[C@@H]23)[C@@H]2C(C)(C)[C@]12OC(C)=O | Protein kinase C delta
195732 CCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(CO)C[C@@]3(O)C(=O)C(C)=C[C@H]32)[C@@H]2C(C)(C)[C@]12OC(=O)CCCCCCCCC | Protein kinase C gamma
196634 CC(C)[C@H]1C(=O)N[C@H](CO)CC2CNc3cccc(c32)N1C | Protein kinase C, PKC; classical/novel
196990 CN1C(=O)C2(C(N)=O)O[C@@]1(C)CC2OC(=O)NC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.CN1CC2(C(N)=O)O[C@]1(C)C(=O)C2OC(=O)NC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O | Receptor protein-tyrosine kinase erbB-2
212557 NC1=NC=NC2C1N=CN2C1C=CC(CO)O1 | Adenosine kinase
